Title,URL,Author,Price
"Smart Home Automation Essential Guides Box Set: The box set includes the first seven books of the Smart Home Automation Essential Guides series, plus a bonus book about Wearable devices",https://www.amazon.com/Smart-Home-Automation-Essential-Guides-ebook/dp/B00YIUMVXC/ref=sr_1_22?ie=UTF8&qid=1534925973&sr=8-22&keywords=automation+books,by Gerard O'Driscoll,
"Selenium Framework Design in Data-Driven Testing: Build data-driven test frameworks using Selenium WebDriver, AppiumDriver, Java, and TestNG",https://www.amazon.com/Selenium-Framework-Design-Data-Driven-Testing/dp/1788473574/ref=sr_1_23?ie=UTF8&qid=1534925973&sr=8-23&keywords=automation+books,by Carl Cocchiaro,"$ 44 99 "
Microsoft Azure Essentials Azure Automation,https://www.amazon.com/Microsoft-Azure-Essentials-Automation-ebook/dp/B00WL2734G/ref=sr_1_24?ie=UTF8&qid=1534925973&sr=8-24&keywords=automation+books,"Microsoft Azure Essentials Azure AutomationApr 10, 2015","$ 0 00 "
"Test Automation  best practices: ""Won the Best Automation Book Award in TestKit 2014""",https://www.amazon.com/Test-Automation-best-practices-TestKit-ebook/dp/B0098QJP12/ref=sr_1_25?ie=UTF8&qid=1534925973&sr=8-25&keywords=automation+books,"Test Automation  best practices: ""Won the Best Automation Book Award in TestKit 2014""Nov 7, 2013",
Introduction to Algorithmic Marketing: Artificial Intelligence for Marketing Operations,https://www.amazon.com/Introduction-Algorithmic-Marketing-Artificial-Intelligence/dp/0692142606/ref=sr_1_26?ie=UTF8&qid=1534925973&sr=8-26&keywords=automation+books,"Introduction to Algorithmic Marketing: Artificial Intelligence for Marketing OperationsDec 1, 2017","$ 24 20 "
Windows Server 2016 Automation with PowerShell Cookbook - Second Edition: Automate manual administrative tasks with ease,https://www.amazon.com/Windows-Server-Automation-PowerShell-Cookbook/dp/1787122042/ref=sr_1_27?ie=UTF8&qid=1534925973&sr=8-27&keywords=automation+books,by Thomas Lee,"$ 56 99 "
"Raspberry Pi 3 Home Automation Projects: Bringing your home to life using Raspberry Pi 3, Arduino, and ESP8266",https://www.amazon.com/Raspberry-Pi-Home-Automation-Projects/dp/1783283874/ref=sr_1_28?ie=UTF8&qid=1534925973&sr=8-28&keywords=automation+books,by Shantanu Bhadoria and Ruben Oliva Ramos,"$ 34 99 "
PLC Programming Using RSLogix 500: Ladder Logic Diagnostics & Troubleshooting! (Volume 3),https://www.amazon.com/PLC-Programming-Using-RSLogix-Troubleshooting/dp/1517594138/ref=sr_1_29?ie=UTF8&qid=1534925973&sr=8-29&keywords=automation+books,"PLC Programming Using RSLogix 500: Ladder Logic Diagnostics & Troubleshooting! (Volume 3)Sep 29, 2015","$ 12 95 "
The Sales Funnel Book: How To Multiply Your Business With Marketing Automation,https://www.amazon.com/Sales-Funnel-Book-Marketing-Automation/dp/1540488098/ref=sr_1_30?ie=UTF8&qid=1534925973&sr=8-30&keywords=automation+books,"The Sales Funnel Book: How To Multiply Your Business With Marketing AutomationNov 1, 2016 | Large Print","$ 11 43 "
"[Sponsored]Home Automation - A Smart Home Guide: The Beginner’s Manual Including Google Home, Echo Dot and Amazon Alexa. Easy Instructions, Directions and Commands ... and Home Automation Guide Series Book 1)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A090614163U2IYAYJT8Y&url=https%3A%2F%2Fwww.amazon.com%2FHome-Automation-Beginners-Instructions-Directions-ebook%2Fdp%2FB01MY2B5R2%2Fref%3Dsr_1_33_sspa%3Fie%3DUTF8%26qid%3D1534925975%26sr%3D8-33-spons%26keywords%3Dautomation%2Bbooks%26psc%3D1&qualifier=1534925975&id=2352179101551701&widgetName=sp_atf_next,by Frederic Marsh,"$ 2 99 "
